	0	3586
	5	2959.28
	10	2720.93
	15	2728.56
	20	3479.09
	25	3321.04
	30	3319.55
	35	3018.24
	40	3045.56
	45	2851.3
	50	2682.48
	55	2602.49
	60	2744.74
	65	2816.55
	70	2673.78
	75	2573.59
	80	2568.58
	85	2617.23
	90	2616.72
	95	2606.11
	100	2682.03
	105	2638.8
	110	2615.55
	115	2623.76
	120	2547.06
	125	2471.06
	130	2451.19
	135	2507.87
	140	2548.22
	145	2514.82
	150	2583.78
	155	2614.28
	160	2568.54
	165	2596.18
	170	2561.29
	175	2598.48
	180	2631.2
	185	2633.21
	190	2696.32
	195	2696.97
	200	2667.6
	205	2699.36
	210	2708.4
	215	2766.61
	220	2768.16
	225	2729.08
	230	2735.8
	235	2757.78
	240	2753.15
	245	2725.04
	250	2711.92
	255	2723.89
	260	2733.17
	265	2724.96
	270	2702.57
	275	2717.81
	280	2709.56
	285	2692.16
	290	2721.86
	295	2741.43
	300	2781.53
	305	2755.31
	310	2773.8
	315	2757.17
	320	2749.01
	325	2747.42
	330	2804.11
	335	2807.13
	340	2790.27
	345	2791
	350	2762.61
	355	2752.23
	360	2740.34
	365	2719.4
	370	2698.03
	375	2700.86
	380	2706.39
	385	2686.35
	390	2682.24
	395	2691.84
	400	2672.89
	405	2685.4
	410	2660.81
	415	2680.41
	420	2681
	425	2659.1
	430	2664.74
